"Title","Date Created","Latitude","Longitude","Northing","Easting","Description"
"Birrabang - Car Park","2021-01-06T13:34:19011:00",-33.5380182920196,150.328447639265,-3966936.58011458,16734486.2429463,
"Birrabang - Entry","2021-01-06T12:30:18011:00",-33.5379467559261,150.327663131381,-3966927.02621797,16734398.9119281,
"Birrabang - Snack","2021-01-06T12:29:51011:00",-33.5392095191391,150.327582585455,-3967095.67384352,16734389.9455966,
"Birrabang-abseil","2021-01-06T13:16:48011:00",-33.5441931026676,150.325764634275,-3967761.2775694,16734187.572197,
"Original Car Park - First Attempt At Dalpura And Birrabang","2021-01-06T11:42:58011:00",-33.5357870192921,150.320847275821,-3966638.58952546,16733640.1743579,
